Nazwa(txt),Obw(in),Wys(ft),Obj(ft^3)
cis,8.3,70,10.3
lipa,8.6,65,10.3
grab,8.8,63,10.2
modrzew,10.5,72,16.4
lipa,10.7,81,18.8
buk,10.8,83,19.7
buk,11.0,66,15.6
grab,11.0,75,18.2
brzoza,11.1,80,22.6
brzoza,11.2,75,19.9
brzoza,11.3,79,24.2
buk,11.4,76,21.0
cis,11.4,76,21.4
grab,11.7,69,21.3
lipa,12.0,75,19.1
sosna,12.9,74,22.2
cis,12.9,85,33.8
modrzew,13.3,86,27.4
modrzew,13.7,71,25.7
buk,13.8,64,24.9
cis,14.0,78,34.5
modrzew,14.2,80,31.7
sosna,14.5,74,36.3
cis,16.0,72,38.3
cis,16.3,77,42.6
grab,17.3,81,55.4
sosna,17.5,82,55.7
lipa,17.9,80,58.3
buk,18.0,80,51.5
cis,18.0,80,51.0
brzoza,20.6,87,77.0
